"priority","slug","page_type","roi_tier","confidence_tier","evidence_gaps","required_additions","status"
"1","/dumpster/size-weight-calculator/","calculator","highest","High","result explainability and assumption transparency","add quick estimate path and assumption disclosure block","implemented"
"2","/dumpster/weight/concrete/","material","highest","High","provider variance; wet vs dry delta; fill-line limit evidence","add operator variance note, moisture swing note, and source-backed heavy-load warning","implemented"
"3","/dumpster/weight/shingles/","material","highest","High","provider variance; wet vs dry delta; fill-line limit evidence","add operator variance note, moisture swing note, and source-backed heavy-load warning","implemented"
"4","/dumpster/weight/drywall/","material","highest","High","provider variance; wet vs dry delta; fill-line limit evidence","add operator variance note, moisture swing note, and source-backed heavy-load warning","implemented"
"5","/dumpster/weight/dirt/","material","highest","High","provider variance; wet vs dry delta; fill-line limit evidence","add operator variance note, moisture swing note, and source-backed heavy-load warning","implemented"
"6","/dumpster/weight/brick-block/","material","medium","Medium","provider variance; wet vs dry delta; fill-line limit evidence","add operator variance note, moisture swing note, and source-backed heavy-load warning","implemented"
"7","/dumpster/heavy-debris-rules/","rule","highest","High","operator policy variance; local acceptance differences","add yes/no/depends framing plus vendor checklist and policy caveat","implemented"
"8","/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/","limit","highest","High","included tons vs max haul confusion","add explicit two-limit explanation with worked example","implemented"
"9","/dumpster/can-you-put-concrete-in-a-dumpster/","rule","highest","High","operator policy variance; local acceptance differences","add yes/no/depends framing plus vendor checklist and policy caveat","implemented"
"10","/dumpster/can-you-mix-concrete-and-wood-in-a-dumpster/","rule","highest","High","operator policy variance; local acceptance differences","add yes/no/depends framing plus vendor checklist and policy caveat","implemented"
"11","/dumpster/fill-line-rules-for-heavy-debris/","rule","medium","Medium","operator policy variance; local acceptance differences","add yes/no/depends framing plus vendor checklist and policy caveat","implemented"
"12","/dumpster/dumpster-vs-junk-removal/","comparison","highest","High","economic inversion thresholds are heuristic","add scenario table with confidence labels and assumptions","implemented"
"13","/dumpster/bagster-vs-dumpster/","comparison","high","High","economic inversion thresholds are heuristic","add scenario table with confidence labels and assumptions","implemented"
"14","/dumpster/one-20-yard-vs-two-10-yard/","comparison","medium","Medium","economic inversion thresholds are heuristic","add scenario table with confidence labels and assumptions","implemented"
"15","/dumpster/size/bathroom-remodel/","project","high","High","preset assumptions and material mix evidence","add project-specific examples and when-answer-flips section","implemented"
"16","/dumpster/size/roof-tear-off/","project","high","High","preset assumptions and material mix evidence","add project-specific examples and when-answer-flips section","implemented"
"17","/dumpster/size/deck-removal/","project","high","High","preset assumptions and material mix evidence","add project-specific examples and when-answer-flips section","implemented"
"18","/dumpster/size/garage-cleanout/","project","medium","Medium","preset assumptions and material mix evidence","add project-specific examples and when-answer-flips section","implemented"
"19","/dumpster/size/kitchen-remodel/","project","medium","Medium","preset assumptions and material mix evidence","add project-specific examples and when-answer-flips section","implemented"
"20","/dumpster/pickup-truck-loads-to-dumpster-size/","unit","highest","High","conversion variance by material and loading style","add conversion uncertainty range and cross-check instruction","implemented"
