rule_id,market_tier,need_timing,profile_id,priority,source,source_url,source_version_date,notes
rule_national_default,national,any,national_baseline_2026,100,INTERNAL_RULESET_V1,https://www.angi.com/articles/how-much-does-junk-removal-cost.htm|https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/,2026-03-04,"Default national homeowner profile."
rule_national_research,national,research,value_suburban_2026,40,INTERNAL_RULESET_V1,https://homeguide.com/costs/junk-removal-prices,2026-03-04,"Research mode skews toward value-shopping behavior."
rule_national_urgent,national,48h,fast_turn_urban_2026,20,INTERNAL_RULESET_V1,https://www.1800gotjunk.com/us_en/how-our-pricing-works,2026-03-04,"Urgent mode prioritizes fast-turn dispatch premium."
rule_urban_default,urban,any,fast_turn_urban_2026,100,INTERNAL_RULESET_V1,https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/,2026-03-04,"Urban baseline assumes higher labor and logistics overhead."
rule_urban_research,urban,research,national_baseline_2026,35,INTERNAL_RULESET_V1,https://www.angi.com/articles/how-much-does-junk-removal-cost.htm,2026-03-04,"Research mode may still find non-premium urban operators."
rule_urban_urgent,urban,48h,fast_turn_urban_2026,10,INTERNAL_RULESET_V1,https://www.1800gotjunk.com/us_en/how-our-pricing-works,2026-03-04,"Strong preference for fast-turn premium in 48h window."
rule_value_default,value,any,value_suburban_2026,100,INTERNAL_RULESET_V1,https://homeguide.com/costs/junk-removal-prices,2026-03-04,"Value market baseline."
rule_value_urgent,value,48h,national_baseline_2026,25,INTERNAL_RULESET_V1,https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/,2026-03-04,"Even value markets often jump toward national baseline under urgency."
rule_coastal_default,coastal,any,coastal_premium_2026,90,INTERNAL_RULESET_V2,https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/|https://homeguide.com/costs/junk-removal-prices,2026-03-04,"Coastal market baseline with stronger labor/logistics premium."
rule_coastal_research,coastal,research,national_baseline_2026,30,INTERNAL_RULESET_V2,https://www.angi.com/articles/how-much-does-junk-removal-cost.htm,2026-03-04,"Research mode can surface less-premium operators despite coastal baseline."
rule_coastal_urgent,coastal,48h,fast_turn_urban_2026,12,INTERNAL_RULESET_V2,https://www.1800gotjunk.com/us_en/how-our-pricing-works,2026-03-04,"Urgent coastal jobs often behave like fast-turn premium dispatch."
rule_mountain_default,mountain,any,mountain_sparse_2026,92,INTERNAL_RULESET_V2,https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/|https://www.angi.com/articles/how-much-does-junk-removal-cost.htm,2026-03-04,"Mountain baseline for sparse-dispatch service density."
rule_mountain_urgent,mountain,48h,coastal_premium_2026,18,INTERNAL_RULESET_V2,https://www.1800gotjunk.com/us_en/how-our-pricing-works,2026-03-04,"Urgent mountain dispatch behaves closer to premium logistics profile."
rule_heartland_default,heartland,any,heartland_balanced_2026,95,INTERNAL_RULESET_V2,https://homeguide.com/costs/junk-removal-prices|https://www.angi.com/articles/how-much-does-junk-removal-cost.htm,2026-03-04,"Heartland balanced baseline."
rule_heartland_research,heartland,research,value_suburban_2026,32,INTERNAL_RULESET_V2,https://homeguide.com/costs/junk-removal-prices,2026-03-04,"Research mode in heartland often finds value-oriented providers."
rule_heartland_urgent,heartland,48h,national_baseline_2026,22,INTERNAL_RULESET_V2,https://www.forbes.com/home-improvement/moving-services/junk-removal-cost/,2026-03-04,"Urgency typically pushes heartland routes toward national baseline pricing."
rule_any_fallback,any,any,national_baseline_2026,999,INTERNAL_RULESET_V1,https://www.angi.com/articles/how-much-does-junk-removal-cost.htm,2026-03-04,"Safety fallback if tier/timing mapping is missing."
